KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
HullSmallDestroyedBlocks,Steel Blocks (Small) - Damaged,,,,,,,,Стальные блоки М - разбитые,,,,,,,,
HullThin,Steel Block,,,,,,,,Стальной блок (тонкий),,,,,,,,
HullThinLarge,Steel Block (Large),,,,,,,,Стальной блок Б (тонкий),,,,,,,,
HullThinLargeBlocks,Steel Thin Blocks (Large),,,,,,,,Стальные блоки Б (тонкие),,,,,,,,
HullThinLargeDestroyed,Steel Thin Blocks (Large) - Damaged,,,,,,,,Стальные блоки Б (тонкие) - разбитые,,,,,,,,
HullThinSmall,Steel Block (Small),,,,,,,,Стальной блок М (тонкий),,,,,,,,
HullThinSmallBlocks,Steel Thin Blocks (Small),,,,,,,,Стальные блоки М (тонкие),,,,,,,,
HullThinSmallDestroyed,Steel Thin Blocks (Small) - Damaged,,,,,,,,Стальной блок М (тонкий) - разбитый,,,,,,,,
TrussLargeBlocks,Truss Blocks (Large),,,,,,,,Блоки стропил Б,,,,,,,,
TrussSmallBlocks,Truss Blocks (Small),,,,,,,,Блоки стропил М,,,,,,,,
WoodThinBlocks,Wood Blocks,,,,,,,,Деревянные блоки (тонкие),,,,,,,,
AkuaFernDeco,Fern,,,,,,,,Папоротник,,,,,,,,
AlienPalmTreeDeco,Firepalm Tree,,,,,,,,Огненная пальма,,,,,,,,
AlienTentacleDeco,Tentacle Tree,,,,,,,,Щупальцевое дерево,,,,,,,,
Antenna,Tri-Beam Antenna,,,,,,,,Антенна 06 (декор),,,,,,,,
Antenna01,Shortwave Transmitter,,,,,,,,Антенна 01 (декор),,,,,,,,
Antenna02,Wideband Receiver,,,,,,,,Антенна 02 (декор),,,,,,,,
Antenna03,Radar Receiver,,,,,,,,Антенна 03 (декор),,,,,,,,
Antenna04,Antenna Spike,,,,,,,,Антенна 04 (декор),,,,,,,,
Antenna05,Radar Tracking Beacon,,,,,,,,Антенна 05 (декор),,,,,,,,
AntennaBlocks,Antennas,,,,,,,,Антенны (декор),,,,,,,,
BathroomCounter,Bathroom Counter,,,,,,,,Ванная,,,,,,,,
Bed,Double Bed,,,,,,,,Кровать 2,,,,,,,,
Bookshelf,Bookshelf,,,,,,,,Книжный шкаф,,,,,,,,
BunkBed,Bunk Bed,,,,,,,,Двухъярусная кровать,,,,,,,,
CapacitorMS,Large Capacitor,,,,,,,,Конденсатор (декор),,,,,,,,
CapacitorSS,Small Capacitor,,,,,,,,Конденсатор МС (декор),,,,,,,,
ConsoleLargeMS01,Power Regulator Console,,,,,,,,Консоль управления (декор),,,,,,,,
ConsoleLargeMS01a,System Console,,,,,,,,Консоль управления (декор),,,,,,,,
ConsoleLargeMS02,Advanced System Console,,,,,,,,Консоль управления (декор),,,,,,,,
ConsoleMapMS01,Mapping Console,,,,,,,,Консоль управления (декор),,,,,,,,
ConsoleMS01,Computer Terminal,,,,,,,,Консоль управления (декор),,,,,,,,
ConsoleSmallMS01,Access Terminal,,,,,,,,Консоль управления (декор),,,,,,,,
ConsoleSmalNPC,Console (Occupied),,,,,,,,Консоль НИП,,,,,,,,
ControlStation,Control Station,,,,,,,,Станция управления,,,,,,,,
ControlStationNPC,Control Station (Occupied),,,,,,,,Станция Управления НИП,,,,,,,,
DecoBlocks,Furnishings,,,,,,,,Интерьер (декор),,,,,,,,
DecoBlocks2,Tech Equipment,,,,,,,,Техническое оборудование (декор),,,,,,,,
ElderberryBushBlueDeco,Akuaberry Bush,,,,,,,,Синий куст,,,,,,,,
ElderberryBushDeco,Akuaberry Bush,,,,,,,,Зеленый куст 2,,,,,,,,
FantasyPlant1Deco,Lava Plant,,,,,,,,Лавовое растение,,,,,,,,
GlowTube01Deco,Glow Tube Flower,,,,,,,,Светотрубчатый цветок,,,,,,,,
HollywoodJuniperDeco,Juniper Bush,,,,,,,,Зеленый куст 1,,,,,,,,
HoloScreen01,Holographic Display,,,,,,,,Голографический экран 01,,,,,,,,
HoloScreen02,Holographic Radiation Display,,,,,,,,Голографический экран 02,,,,,,,,
HoloScreen03,Holographic Radar Display,,,,,,,,Голографический экран 03,,,,,,,,
HoloScreen04,Holographic Terminal,,,,,,,,Голографический экран 04,,,,,,,,
HoloScreen05,Holographic Ship Display,,,,,,,,Голографический экран 05,,,,,,,,
IndoorPlant01,Potted Palm,,,,,,,,Искусственное растение 1,,,,,,,,
IndoorPlant02,Potted Plant,,,,,,,,Искусственное растение 2,,,,,,,,
IndoorPlant03,Potted Plant,,,,,,,,Искусственное растение 3,,,,,,,,
IndoorPlants,Indoor Plants,,,,,,,,Искусственные растения (декор),,,,,,,,
KitchenCounter,Kitchen Counter,,,,,,,,Кухонный стол,,,,,,,,
KitchenTable,Basic Table,,,,,,,,Обеденный стол,,,,,,,,
LabTable1,Specimen Table,,,,,,,,Лабораторный стол 1,,,,,,,,
LabTable2,Lab Desk,,,,,,,,Лабораторный стол 2,,,,,,,,
LabTable3,Lab Table,,,,,,,,Лабораторный стол 3,,,,,,,,
Level4Prop2,Wide Repository,,,,,,,,Хранилище 1,,,,,,,,
Level4Prop3,Small Repository,,,,,,,,Хранилище 2,,,,,,,,
Level4Prop4,Large Repository,,,,,,,,Хранилище 3,,,,,,,,
Level5FreezerOpened,Cryo Chamber,,,,,,,,Криокамера,,,,,,,,
LockerWShelves,Lockers,,,,,,,,Шкафчик,,,,,,,,
OnionFlowerDeco,Mega Onion Flower,,,,,,,,Большой Лукоцвет,,,,,,,,
OperationTableWDrawers,Medical Cabinet,,,,,,,,Операционный стол,,,,,,,,
Props6BoxLarge1,Chilled Cabinet,,,,,,,,Ящик большой 1,,,,,,,,
Props6BoxLarge2,Chilled Cabinet,,,,,,,,Ящик большой 2,,,,,,,,
Props6BoxMedium1,Cold Box,,,,,,,,Ящик средний,,,,,,,,
ReceptionTable,Reception Table,,,,,,,,Стойка ресепшен,,,,,,,,
ReceptionTableCorner,Reception Table Corner,,,,,,,,Стойка ресепшен угловая,,,,,,,,
ReceptionTableCornerThin,Reception Table Corner - Thin,,,,,,,,Стойка ресепшен угловая (тонкая),,,,,,,,
ReceptionTableNPC,Reception Table (Occupied),,,,,,,,Стойка ресепшен НИП,,,,,,,,
ReceptionTableThin,Reception Table - Thin,,,,,,,,Стойка ресепшен (тонкая),,,,,,,,
SciencelabMS,Science Lab,,,,,,,,Научная лаборатория (декор),,,,,,,,
ScifiBed,Bed,,,,,,,,Кровать,,,,,,,,
ScifiChair,Chair,,,,,,,,Кресло,,,,,,,,
ScifiComputerTable,Computer Table,,,,,,,,Компьютерный стол,,,,,,,,
ScifiContainer1,Industrial Cargo Container,,,,,,,,Контейнер 1,,,,,,,,
ScifiContainer2,Industrial Cargo Box,,,,,,,,Контейнер 2,,,,,,,,
ScifiContainerEnergy,Capacitory Relay,,,,,,,,Энергохранилища (декор),,,,,,,,
ScifiContainerPower,Framed Industrial Cargo Container,,,,,,,,Контейнер 3,,,,,,,,
ScifiLargeSofa,Bench,,,,,,,,Скамейка,,,,,,,,
ScifiLargeSofaNPC,Bench (Occupied),,,,,,,,Скамейка 2 НИП,,,,,,,,
ScifiMediaCenter,Holographic Data Display,,,,,,,,Мультимедийный центр,,,,,,,,
ScifiNightstand,Small Table,,,,,,,,Столик,,,,,,,,
ScifiPlant,Potted Lily,,,,,,,,Искусственное растение 4,,,,,,,,
ScifiSofa,Padded Bench,,,,,,,,Скамейка 2,,,,,,,,
ScifiSofaNPC,Padded Bench (Occupied),,,,,,,,Скамейка НИП,,,,,,,,
ScifiStorage,Closet,,,,,,,,Стенной шкаф,,,,,,,,
ScifiTable,Table,,,,,,,,Стол,,,,,,,,
ScifiTableNPC,Table (Occupied),,,,,,,,Стол 1 НИП,,,,,,,,
ScifiTableNPC2,Table (Occupied),,,,,,,,Стол 2 НИП,,,,,,,,
ScifiTableNPC3,Table (Occupied),,,,,,,,Стол 3 НИП,,,,,,,,
ScifiTableV2,Meeting Table,,,,,,,,Стол 2,,,,,,,,
ScifiTableV2NPC,Table (Occupied),,,,,,,,Стол 2 НИП,,,,,,,,
Shower,Shower,,,,,,,,Душ,,,,,,,,
SmallTable,Coffee Table,,,,,,,,Маленький стол,,,,,,,,
Sofa,Sofa,,,,,,,,Софа,,,,,,,,
SofaNPC,Sofa (Occupied),,,,,,,,Кровать НИП,,,,,,,,
SolarBlock,Solar Panel Slope,,,,,,,,Наклонная солнечная панель,,,,,,,,
SolarPanel,Solar Panel Plate,,,,,,,,Солнечная панель,,,,,,,,
StandingNPC,Citizen,,,,,,,,Стоящие НИП 1,,,,,,,,
StandingNPC2,Citizen,,,,,,,,Стоящие НИП 2,,,,,,,,
TableTV,Plasma Screen TV,,,,,,,,ТВ-панель,,,,,,,,
Tank1,Affixed Tank,,,,,,,,Бак 1,,,,,,,,
Tank2,Fluid Tank,,,,,,,,Бак 2,,,,,,,,
Toilet,Toilet,,,,,,,,Туалет,,,,,,,,
TurretRadar,Radar Dish,,,,,,,,Радар (декор),,,,,,,,
AlienDeviceBlocks,Alien Blocks,,,,,,,,Инопланетные блоки,,,,,,,,
ArmorLocker,Armor Locker,,,,,,,,Шкаф амуниции,,,,,,,,
ArmorLockerSV,Armor Locker (Small),,,,,,,,"Шкаф амуниции (МС, ПС)",,,,,,,,
ATM,ATM,,,,,,,,Банкомат,,,,,,,,
AutoMinerCore,Auto Miner Core,,,,,,,,Ядро Экстрактора,,,,,,,,
AutoMiningDeviceT1,Auto Mining Device (Basic),,,,,,,,Экстрактор (К1),,,,,,,,
AutoMiningDeviceT2,Auto Mining Device (Improved),,,,,,,,Экстрактор (К2),,,,,,,,
AutoMiningDeviceT3,Auto Mining Device (Advanced),,,,,,,,Экстрактор (К3),,,,,,,,
Backpack,Backpack,,,,,,,,Рюкзак,,,,,,,,
CloneChamber,Clone Chamber,,,,,,,,Камера клонирования,,,,,,,,
CockpitBlocksCV,Control Stations,,,,,,,,Кабины БС,,,,,,,,
CockpitBlocksSV,Cockpits,,,,,,,,Кабины,,,,,,,,
CockpitMS01,Cockpit 1,,,,,,,,Кабина 1,,,,,,,,
CockpitMS02,Cockpit 2,,,,,,,,Кабина 2,,,,,,,,
CockpitMS03,Cockpit 3,,,,,,,,Кабина 3,,,,,,,,
CockpitOpen2SV,Cockpit 2 (open),,,,,,,,Кабина 2 (открытая),,,,,,,,
CockpitOpenSV,Cockpit 1 (open),,,,,,,,Кабина 1 (открытая),,,,,,,,
CockpitSV,Cockpit (obsolete),,,,,,,,Кабина (устаревшая),,,,,,,,
CockpitSV_fighter,Cockpit (obsolete),,,,,,,,Кабина (устаревшая),,,,,,,,
CockpitSV_fighter_Noscale,Cockpit (obsolete),,,,,,,,Кабина (устаревшая),,,,,,,,
CockpitSV_ShortRange,Cockpit 2,,,,,,,,Кабина 2,,,,,,,,
CockpitSV01,Cockpit 1,,,,,,,,Кабина 1,,,,,,,,
CockpitSV02,Cockpit 3 (Legacy),,,,,,,,Кабина 3 (Наследие),,,,,,,,
CockpitSV02New,Cockpit 3,,,,,,,,Кабина 3,,,,,,,,
CockpitSV03,Cockpit 8 (Legacy),,,,,,,,Кабина 8 (Наследие),,,,,,,,
CockpitSV04,Cockpit 4,,,,,,,,Кабина 4,,,,,,,,
CockpitSV05,Cockpit 5 (Legacy),,,,,,,,Кабина 5 (Наследие),,,,,,,,
CockpitSV05New,Cockpit 5,,,,,,,,Кабина 5,,,,,,,,
CockpitSV06,Cockpit 6,,,,,,,,Кабина 6,,,,,,,,
CockpitSV07,Cockpit 6 (Legacy),,,,,,,,Кабина 6 (Наследие),,,,,,,,
CockpitSV07New,Cockpit 7,,,,,,,,Кабина 7,,,,,,,,
ConsoleBlocks,Consoles (Deco),,,,,,,,Консоли (декор),,,,,,,,
ConstructorMS,Old Large Constructo,,,,,,,,Большой конструктор (устарел - пожалуйста замените),,,,,,,,
ConstructorRecursive,Ancient Constructor,,,,,,,,Расширенный конструктор (устарел - пожалуйста замените),,,,,,,,
ConstructorSV_Old,Mobile Constructor (old - please replace),,,,,,,,Мобильный конструктор (устарел - пожалуйста замените),,,,,,,,
ConstructorT1,Large Constructor (old - please replace),,,,,,,,Большой конструктор (устарел - пожалуйста замените),,,,,,,,
ConstructorT1V2,Large Constructor,,,,,,,,Большой конструктор,,,,,,,,
ConstructorT2,Advanced Constructor,,,,,,,,Расширенный конструктор,,,,,,,,
ContainerAmmoSmall,Small Ammo Box,,,,,,,,Малый боекомплект,,,,,,,,
ContainerBlocks,Cargo Containers,,,,,,,,Контейнеры,,,,,,,,
ContainerHarvest,Harvest Container,,,,,,,,Контейнер (добыча ресурсов),,,,,,,,
ContainerMS01,Cargo Box,,,,,,,,Контейнер,,,,,,,,
ContainerPersonal,Personal Locker,,,,,,,,Личный шкафчик,,,,,,,,
ContainerRandom,Cargo Box (POI),,,,,,,,Контейнер (ТИ),,,,,,,,
ContainerUltraRare,Cargo Box (POI) - Ultra Rare,,,,,,,,Контейнер (ТИ) - Очень редкий,,,,,,,,
CoreEnemy,Alien Core,,,,,,,,Ядро инопланетян,,,,,,,,
CoreEnemyAdmin,Alien Core (Admin),,,,,,,,Ядро инопланетян (Админ),,,,,,,,
CoreFlyDir,Core (obsolete),,,,,,,,Ядро (устаревшее),,,,,,,,
CorePlayer,Core,,,,,,,,Ядро,,,,,,,,
CorePlayerAdmin,Core (Admin),,,,,,,,Ядро (Админ),,,,,,,,
DockingPad,Docking Pad,,,,,,,,Стыковочный узел,,,,,,,,
DoorArmored,Automatic Armored Door,,,,,,,,Автоматическая прочная дверь,,,,,,,,
DoorArmoredBlocks,Armored Automatic Doors,,,,,,,,Прочные автоматические двери,,,,,,,,
DoorBlocks,Automatic Doors,,,,,,,,Автоматические двери,,,,,,,,
DoorBlocksSV,Manual Doors,,,,,,,,Механические двери,,,,,,,,
DoorInterior01,Smooth Automatic Door,,,,,,,,Автоматическая дверь 2,,,,,,,,
DoorInterior01SlimSV,Manual Interior Door (Slim),,,,,,,,Внутренняя механическая дверь (тонкая),,,,,,,,
DoorInterior01SV,Manual Interior Door,,,,,,,,Внутренняя механическая дверь,,,,,,,,
DoorInterior02,Glass Automatic Door,,,,,,,,Автоматическая дверь 3,,,,,,,,
DoorMS01,Windowed Automatic Door,,,,,,,,Автоматическая дверь 1,,,,,,,,
DoorSS01,Manual Door,,,,,,,,Механическая дверь,,,,,,,,
DoorSS01Slim,Manual Door (Slim),,,,,,,,Механическая дверь (тонкая),,,,,,,,
DoorVertical,Vertical Automatic Door,,,,,,,,Автоматическая дверь 1 (верт),,,,,,,,
DoorVerticalArmored,Vertical Armored Door,,,,,,,,Автоматическая прочная дверь (верт),,,,,,,,
DoorVerticalGlass,Vertical Armored Glass Door,,,,,,,,Автоматическая дверь 2 (верт),,,,,,,,
DropContainer,Drop Container,,,,,,,,Сбрасываемый контейнер,,,,,,,,
ElevatorMS,Elevator Frame,,,,,,,,Блок лифта,,,,,,,,
Flare,Flare,,,,,,,,Маячок,,,,,,,,
FoodProcessorMS,Food Processor (old - please replace),,,,,,,,Пищевой процессор (устарел - замените),,,,,,,,
FoodProcessorV2,Food Processor,,,,,,,,Пищевой процессор,,,,,,,,
FridgeSV,Fridge,,,,,,,,Холодильник,,,,,,,,
FuelTankMSLarge,Fuel Tank (Medium),,,,,,,,Топливный бак (К2),,,,,,,,
FuelTankMSLargeT2,Fuel Tank (Large),,,,,,,,Топливный бак (К3),,,,,,,,
FuelTankMSSmall,Fuel Tank (Small),,,,,,,,Топливный бак (К1),,,,,,,,
FuelTankPOI,Fuel Tank POI,,,,,,,,Топливный бак (ТИ),,,,,,,,
FuelTankSV,Fuel Tank,,,,,,,,Топливный бак,,,,,,,,
Furnace,Furnace,,,,,,,,Печь,,,,,,,,
GeneratorBA,Generator,,,,,,,,Малый генератор,,,,,,,,
GeneratorMS,Large Generator,,,,,,,,Большой генератор (К1),,,,,,,,
GeneratorMST2,Advanced Generator,,,,,,,,Большой генератор (К2),,,,,,,,
GeneratorSV,Small Generator,,,,,,,,Генератор,,,,,,,,
GravityGeneratorMS,Gravity Generator,,,,,,,,Генератор гравитации,,,,,,,,
HoverBooster,Hover Booster,,,,,,,,Усилитель двигателей парения,,,,,,,,
HoverEngineLarge,Large Hover Engine,,,,,,,,Двигатель парения (2х2),,,,,,,,
HoverEngineSmall,Small Hover Engine,,,,,,,,Двигатель парения (1х1),,,,,,,,
HydrogenBottle,Hydrogen Bottle,,,,,,,,Баллон с водородом,,,,,,,,
LandinggearBlocksCV,Landing Gears,,,,,,,,Посадочные опоры,,,,,,,,
LandinggearBlocksHeavySV,Landing Gears (Heavy),,,,,,,,Посадочные опоры (К2),,,,,,,,
LandinggearBlocksSV,Landing Gears (Small),,,,,,,,Посадочные опоры (К1),,,,,,,,
LightBarrier,Laser Tripwire,,,,,,,,Световой барьер,,,,,,,,
LightInterior01,Light 5,,,,,,,,Cветильник 5,,,,,,,,
LightInterior02,Light 6,,,,,,,,Cветильник 6,,,,,,,,
LightLantern,Light (Lantern),,,,,,,,Светильник (Фонарь),,,,,,,,
LightLargeBlocks,Lights,,,,,,,,Светильники,,,,,,,,
LightMS01,Light 1,,,,,,,,Светильник 1,,,,,,,,
LightMS01Corner,Light 1 (Corner),,,,,,,,Светильник 1 (Угловой),,,,,,,,
LightMS01Offset,Light 1 (not centered),,,,,,,,Светильник 1 (не по центру),,,,,,,,
LightMS02,Light 2,,,,,,,,Светильник 2,,,,,,,,
LightMS03,Light 3,,,,,,,,Светильник 3,,,,,,,,
LightMS04,Light 4,,,,,,,,Светильник 4,,,,,,,,
LightPlant01,Hydroponics Lamp,,,,,,,,Лампа для растений,,,,,,,,
LightSS01,Light,,,,,,,,Светильник,,,,,,,,
LightWork,Portable Work Light,,,,,,,,Переносной прожектор 1,,,,,,,,
LightWork02,Portable Work Lamp,,,,,,,,Переносной прожектор 2,,,,,,,,
MedicinelabMS,Biomedical Chamber,,,,,,,,Медицинская станция,,,,,,,,
MotionSensor,Motion Sensor,,,,,,,,Сенсор движения,,,,,,,,
OfflineProtector,Offline Protection,,,,,,,,Офлайновая защита,,,,,,,,
OxygenBottleLarge,Oxygen Bottle,,,,,,,,Кислородный баллон,,,,,,,,
OxygenBottleSmall,Oxygen Canister,,,,,,,,Малый кислородный баллон,,,,,,,,
OxygenGenerator,Oxygen Extractor,,,,,,,,Генератор кислорода,,,,,,,,
OxygenHydrogenGenerator,Hydrogen Extractor,,,,,,,,Генератор водорода,,,,,,,,
OxygenStation,Oxygen Station,,,,,,,,Кислородная станция,,,,,,,,
OxygenStationSS,Oxygen Station,,,,,,,,Кислородная станция,,,,,,,,
OxygenStationSV,Oxygen Station,,,,,,,,Кислородная станция,,,,,,,,
OxygenTankEscapePod,O2 Tank,,,,,,,,Кислородный бак,,,,,,,,
OxygenTankMS,Large Oxygen Tank,,,,,,,,Большой кислородный бак,,,,,,,,
OxygenTankSmallMS,Small Oxygen Tank,,,,,,,,Малый кислородный бак,,,,,,,,
OxygenTankSV,Oxygen Tank,,,,,,,,Кислородный бак,,,,,,,,
PassengerSeat2SV,Passenger Seat,,,,,,,,Пассажирское сиденье (открытое),,,,,,,,
PassengerSeatSV,Passenger Compartment,,,,,,,,Пассажирское сиденье (закрытое),,,,,,,,
RCSBlockGV,RCS,,,,,,,,РСУ,,,,,,,,
RCSBlockMS,Large RCS,,,,,,,,РСУ,,,,,,,,
RCSBlockMS_T2,Advanced RCS,,,,,,,,РСУ (К2),,,,,,,,
RCSBlockSV,RCS,,,,,,,,РСУ,,,,,,,,
RepairBayBA,Repair Bay,,,,,,,,Ремонтный отсек,,,,,,,,
RepairBayCV,Repair Bay,,,,,,,,Ремонтный отсек,,,,,,,,
RepairStation,Repair Station,,,,,,,,Ремонтная Станция,,,,,,,,
SensorTriggerBlocks,Sensors and Signals,,,,,,,,Сенсоры и Cигналки,,,,,,,,
ThrusterGVDirectional,Small Thruster,,,,,,,,Двигатель М,,,,,,,,
ThrusterGVRoundArmored,Enclosed Medium Thruster,,,,,,,,Двигатель обшитый С,,,,,,,,
ThrusterGVRoundBlocks,Medium Thrusters,,,,,,,,Двигатели С,,,,,,,,
ThrusterGVRoundNormal,Medium Thruster,,,,,,,,Двигатель стандартный С,,,,,,,,
ThrusterGVRoundSlant,Sloped Medium Thruster,,,,,,,,Двигатель с наклонной защитой С,,,,,,,,
ThrusterJetRound1x3x1,Small Jet Thruster,,,,,,,,Прямоточный двигатель М (1х3х1),,,,,,,,
ThrusterJetRound2x5x2,Medium Jet Thruster,,,,,,,,Прямоточный двигатель С (2х5х2),,,,,,,,
ThrusterJetRound3x10x3,Improved Jet Thruster,,,,,,,,Прямоточный двигатель ОБ (3х10х3),,,,,,,,
ThrusterJetRound3x13x3,Advanced Jet Thruster,,,,,,,,Прямоточный двигатель ООБ (3х13х3),,,,,,,,
ThrusterJetRound3x7x3,Large Jet Thruster,,,,,,,,Прямоточный двигатель Б (3х7х3),,,,,,,,
ThrusterMSDirectional,Small Thruster,,,,,,,,Двигатель М,,,,,,,,
ThrusterMSRound2x2Blocks,Advanced Thrusters,,,,,,,,Двигатели Б,,,,,,,,
ThrusterMSRound3x3Blocks,Drive Thrusters,,,,,,,,Двигатели ОБ,,,,,,,,
ThrusterMSRoundArmored,Enclosed Medium Thruster,,,,,,,,Двигатель обшитый С,,,,,,,,
ThrusterMSRoundArmored2x2,Enclosed Advanced Thruster,,,,,,,,Двигатель обшитый Б,,,,,,,,
ThrusterMSRoundArmored3x3,Enclosed Drive Thruster,,,,,,,,Двигатель обшитый ОБ,,,,,,,,
ThrusterMSRoundBlocks,Medium Thrusters,,,,,,,,Двигатели С,,,,,,,,
ThrusterMSRoundNormal,Medium Thruster,,,,,,,,Двигатель стандартный С,,,,,,,,
ThrusterMSRoundNormal2x2,Advanced Thruster,,,,,,,,Двигатель стандартный Б,,,,,,,,
ThrusterMSRoundNormal3x3,Drive Thruster,,,,,,,,Двигатель стандартный ОБ,,,,,,,,
ThrusterMSRoundSlant,Sloped Medium Thruster,,,,,,,,Двигатель с наклонной защитой С,,,,,,,,
ThrusterMSRoundSlant2x2,Sloped Advanced Thruster,,,,,,,,Двигатель с наклонной защитой Б,,,,,,,,
ThrusterMSRoundSlant3x3,Sloped Drive Thruster,,,,,,,,Двигатель с наклонной защитой ОБ,,,,,,,,
ThrusterSVDirectional,Small Thruster,,,,,,,,Двигатель М,,,,,,,,
ThrusterSVRoundArmored,Enclosed Medium Thruster,,,,,,,,Двигатель обшитый С,,,,,,,,
ThrusterSVRoundAtmo,Medium Thruster,,,,,,,,Двигатель длинный С,,,,,,,,
ThrusterSVRoundBlocks,Medium Thrusters,,,,,,,,Двигатели С,,,,,,,,
ThrusterSVRoundNormal,Medium Thruster,,,,,,,,Двигатель стандартный С,,,,,,,,
ThrusterSVRoundSlant,Sloped Medium Thruster,,,,,,,,Двигатель с наклонной защитой С,,,,,,,,
WaterGenerator,Water Extractor,,,,,,,,Генератор воды,,,,,,,,
bkiCockpit,Required on every vessel to pilot the vessel,,,,,,,,Необходимо на любом судне для пилотирования.,,,,,,,,
bkiContainer,Standard storage container with logistics connectivity,,,,,,,,Обычный контейнер хранения,,,,,,,,
bkiCore,Central processing unit required on every structure. The structure will lose all functionality when destroyed.,,,,,,,,"Каждая структура требует центр обработки данных. По этому в случае уничтожения ядра, управление структурой становится невозможным.",,,,,,,,
bkiPlayerArmor,"Armor provides protection from environmental and damage.\nEach suit includes a Jetpack (J), A spotlight (L) and Oxygen Tanks for oxygenless environments.\n\n[c][00FF00]An Armor Locker is required to equip or modify your suit.",,,,,,,,Чтобы сменить броню - воспользуйтесь Шкафчиком Амуниции.,,,,,,,,
bkiPlayerBike,A solar-powered deployable hovercycle for travelling around faster than walking. Lacks storage and will despawn after 25 min if it is not used.,,,,,,,,"Мотоцикл используется для быстрого передвижения по планете. Важно: вы должны всегда подбирать его после использования, иначе он через 5 минут перейдет в режим энергосбережения, а через 25 минут исчезнет, если не будет использован.",,,,,,,,
bkiThruster,Main thruster unit for main propulsion,,,,,,,,Главный двигатель для создания основной тяги,,,,,,,,
