KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_6pmsM,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_0EuCe,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_GOi8I,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_a4G8W,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_mOqee,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_eG9aS,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_Cm84a,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_WQGAa,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_SecG0,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_GC4S4,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_W8OqM,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_44OOm,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_04ila,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_Pqsuq,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_8uuOW,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_e8aaK,That Zirax blockade has seized three freighters coming into the system! I had cargo on both of them! Now they expect me to pay them to release MY cargo!,,,,,,,,Zirax очень гнетущие!,,,,,,,,
dialogue_KWMmx,"Why do people keep calling these guns 'Epic'? We're not a bunch of dumb kids. These guns have proper military designations! What for the next series of weapons, huh? super-hyper-epic assault rifle? Grow up!",,,,,,,,Вы видели новую импульсную винтовку MkIII? Мне уже не терпится пострелять из нее!,,,,,,,,
dialogue_OCsS4,"I'm a huge fan of Plasma Cannons, but honestly... The rocket launcher is far easier to use.",,,,,,,,Плазменные пушки - это действительно что-то!,,,,,,,,
dialogue_WW401,I hear the new cruiser can make the Kessel run in just 12 parsecs!,,,,,,,,"Я слышал, что новый крейсер может достигнуть Акуа всего за 3 варп-прыжка!",,,,,,,,
dialogue_mCeu0,The new captain has a stick up his ass about procedure. At least if he runs out of ammo he can pull it out and use it as a backup weapon.,,,,,,,,Новый капитан слишком суров!,,,,,,,,
dialogue_YOwMq,I heard someone talking about a lost Polaris Superfreighter in the Ellyon system. 10 credits says they were shipping something they weren't meant to.,,,,,,,,"Я слышал, как кто-то говорил о потерянном шахтёрском корабле Полярис в системе Ellyon.",,,,,,,,
dialogue_KKSeK,I love to look out the windows when we make planet fall for a survey mission.,,,,,,,,"Я люблю смотреть в окна, когда мы приземляемся на планету во время исследовательской миссии.",,,,,,,,
dialogue_WiTWq,There are rumours about hidden pirate markets. I wonder if it would be cheaper to buy from them than Polaris?,,,,,,,,Ходят слухи о скрытых пиратских рынках.,,,,,,,,
dialogue_6SG4t,I heard that a Tal'on ship was seen near the Outer Rim! The Tal'on with ships?! There haven't been Tal'on ships in centuries!,,,,,,,,"Я слышал, что против Зиракса растет движение галактического сопротивления!",,,,,,,,
dialogue_G000a,"What's up with the captain's orders? He's always saying stuff like 'Engage', 'Make it so' and 'Energize'.",,,,,,,,"Я слышал, что капитану очень нравится просить офицеров на мостике «вступать в бой».",,,,,,,,
dialogue_0UmSG,Elias Hummel just put out a new galactic survey: Which parts of Andromeda do you like best?,,,,,,,,Элиас Хаммель только что опубликовал новый галактический обзор: какие части Андромеды вам нравятся больше всего? А меньше всего?,,,,,,,,
dialogue_0KcZq,I wonder what the mess hall has for dinner today?,,,,,,,,"Интересно, что сегодня в столовой на обед?",,,,,,,,
dialogue_qa8S8,"Nice gun you have there, but aren't you a little short for a stormtrooper?",,,,,,,,У нас лучшие экипажи в галактике!,,,,,,,,
dialogue_aASCi,I heard Forge Aerospace designed the Tovera-Class Dreadnought. The guy that did it must really hate people! He told me to say that by the way.,,,,,,,,"Я слышал, Forge Aerospace продала каким-то идиотам 3 новых эсминца за все их варп-топливо.",,,,,,,,
dialogue_0SW4q,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_ae40Y,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_SSuuK,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_iUSim,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_SOeCe,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_QKSOp,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_KCeNm,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_Kqu0O,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_OO8VS,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_uii0T,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_q4aqS,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_OCceO,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_4kSGu,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_rH0eW,"Yes, I can speak Trade Standard, Terran. I go with the chief regularly to purchase supplies from the traders of Polaris.",,,,,,,,У этой планеты много прекрасных качеств.,,,,,,,,
dialogue_W4uva,I heard one of your people call an Erebus Spider a 'Giganpedibus Silex' does it mean something or do you just like inventing long-winded names for things?,,,,,,,,Некоторые из больших пауков действительно пугают меня!,,,,,,,,
dialogue_icCWa,Watch your footing in tall grass. Leafcutters will go for your legs!,,,,,,,,Я слышу хищников вдалеке!,,,,,,,,
dialogue_88GS4,"I do not trust you, Terran. Stay away from me and we shall have no problems.",,,,,,,,"Мы никогда не забудем, что с нами сделал Зиракс.",,,,,,,,
dialogue_0mqi4,I am not supposed to be talking to you. Our chief is our contact with the outside world.,,,,,,,,Я не должен с тобой разговаривать. Наш главный - это наш контакт с внешним миром.,,,,,,,,
dialogue_8COm4,You may think our crossbows are primitive but they are made from the best materials that are a rival to any rifle.,,,,,,,,Арбалеты хороши для охоты!,,,,,,,,
dialogue_K0KCK,Thankfully we can grow all the food we need. But hunting is still necessary for ingredients to be sold to Polaris.,,,,,,,,"К счастью, мы можем выращивать все, что нам нужно.",,,,,,,,
dialogue_OQ7eO,"We may seem primitive to your eyes, Terran. Perhaps that is just what we want you to see?",,,,,,,,Нельзя забывать науки!,,,,,,,,
dialogue_4qNGE,Every day the Zirax's grasp exceeds their reach. It is only a matter of time before they collapse under their own weight.,,,,,,,,Когда-нибудь вернется в великую пустоту.,,,,,,,,
dialogue_OWm8Q,The Tal'on Protectorate once spanned this entire galaxy... Those days are long behind us now.,,,,,,,,Когда-то мы были хозяевами галактики.,,,,,,,,
dialogue_iWaqC,Keep your heads down when a zirax passes overhead. I don't want their attention and i'm sure you don't either.,,,,,,,,UCH кажется очень примитивным.,,,,,,,,
dialogue_ijGi0,I'm but a simple man trying to make my way in the galaxy.,,,,,,,,Галактике нужно меньше войн.,,,,,,,,
dialogue_K0emu,You say you come from something milky? Is that a symbiotic relationship with a large organism?,,,,,,,,"Вы говорите, что произошли от чего-то молочного? Это симбиотические отношения с большим организмом?",,,,,,,,
dialogue_pCaiS,Outsiders always bring trouble.,,,,,,,,Посторонние всегда приносят неприятности.,,,,,,,,
dialogue_VmimW,Many of the plants we now cultivate are from the wrecked ships of your people. They are most unnatural in how fast they grow. I suspect they have been altered.,,,,,,,,Наше высокомерие привело к нашему падению.,,,,,,,,
dialogue_qaKb4,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_0uCa0,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_8vSiC,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_9WC40,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_LPCuS,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_Gum01,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_qOm0W,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_i4iH8,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_LO84S,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_uu8K8,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_gmSGu,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_ugMim,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_eeem0,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_K80iW,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_eSmCS,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_G8uaC,Glory to the empire! Long may the Empress reign!,,,,,,,,Привет.... Терран...,,,,,,,,
dialogue_GHOuC,"Do not speak to me so casually, Terran. I do not know you.",,,,,,,,Императрица - это все.,,,,,,,,
dialogue_eOKI0,The War of Silence crippled the Empire. Change is necessary for our continued existence.,,,,,,,,Война Безмолвия была нашим призывом к величию!,,,,,,,,
dialogue_uiW4C,I do not trust the House of Abyssal. They are not what they seem.,,,,,,,,Abyssal что-то замышляют!,,,,,,,,
dialogue_W0a0W,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_GiuGW,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_4CWm8,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_CGW4m,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_OWiGC,We are unstoppable.,,,,,,,,Нас не остановить.,,,,,,,,
dialogue_qu8KW,Andromeda belongs to us!,,,,,,,,Андромеда принадлежит нам!,,,,,,,,
dialogue_a8WWW,The galaxy is rightfully ours!,,,,,,,,Галактика по праву наша!,,,,,,,,
dialogue_uKaiG,Someday we will invade your world.,,,,,,,,Когда-нибудь мы вторгнемся в ваш мир.,,,,,,,,
dialogue_emSaS,Our clones are tended to with the finest care!,,,,,,,,За нашими клонами ухаживают с максимальной заботой!,,,,,,,,
dialogue_OGamS,Any fleet is no match for ours.,,,,,,,,Ни один флот не сравнится с нашим.,,,,,,,,
dialogue_KeqmK,You lose more ships to us by the cycle.,,,,,,,,Вы теряете больше кораблей за цикл чем мы.,,,,,,,,
dialogue_0WG0q,The Rados handle our logistics.,,,,,,,,Rados занимается нашей логистикой.,,,,,,,,
dialogue_S48Oi,The Gh'yst are listening...,,,,,,,,Gh'yst слушают...,,,,,,,,
dialogue_i0Sae,Few can match the military of the Xenu!,,,,,,,,Немногие могут сравниться с армией Ксену!,,,,,,,,
dialogue_Jwe80,"The Epsilon run our communications ... wait, why am I telling you this?!",,,,,,,,"«Эпсилон» управляет нашей связью ... подожди, зачем я тебе это говорю ?!",,,,,,,,
dialogue_Se8Ga,"For now, you are allowed here, but next time we meet, I will end you.",,,,,,,,"На данный момент тебе разрешено быть здесь, но в следующий раз, когда мы встретимся, я прикончу тебя.",,,,,,,,
dialogue_AO6O0,"Our drones, are, everywhere.",,,,,,,,Наши дроны есть везде.,,,,,,,,
dialogue_KS4em,You exist because we allow it.,,,,,,,,"Вы существуете, потому что мы это позволяем.",,,,,,,,
dialogue_4Vc6m,"No alliances, only the Zirax Empire.",,,,,,,,"Никаких союзов, только Империя Зиракс.",,,,,,,,
dialogue_GmCue,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_qOSGC,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_mO44I,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_KaCea,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_m4eKM,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_CK8Wi,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_GS4OW,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_0a6iG,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_OCqKe,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_iqKWO,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_GiqWC,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_W4D4w,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_WCaqW,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_qUTF2,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_at800,<i>(leave)</i>,,,,,,,,<i>(уйти)</i>,,,,,,,,
dialogue_ame0a,"Waste management? Weapons? Manufacturing? Polaris does it all!\nI'm paid to say that. Honestly, I wouldn't trust Polaris' waste management.",,,,,,,,Управление отходами? Оружие? Производство? Мы делаем их все!,,,,,,,,
dialogue_0oqiq,"Another few years and i'll finally be able to move into one of the newer model habitats.\nThe one i've got now is comfortable enough, but the last resident died in it and it's always smelled funny.",,,,,,,,Кто не любит монополии!,,,,,,,,
dialogue_0iiqb,"Have you ever heard of SIGMA? I see it on all the Polaris networks, but I honestly have no clue what it is.",,,,,,,,Нам всегда интересен ваш задний двор.,,,,,,,,
dialogue_OCmu4,Don't let the Polaris Oppressor's name scare you! It's here for your protection!\nThere's no pirate alive that doesn't fear the might of the Oppressor.,,,,,,,,Не забудьте посетить вестибюль.,,,,,,,,
dialogue_S0a4W,I heard one of the Hydrobots on Oscutune went rogue and sank a freighter while it was taking on reaction mass.\nWhat kind of a nutjob pumps up water right in front of a Hydrobot? I certainly wouldn't risk it!,,,,,,,,Мы помещаем POS в одержимых.,,,,,,,,
dialogue_WCueC,I heard Polaris mining got permission to collapse a planet in the Theta quadrant.\nThat means a big influx of raw materials from the core extraction. Those goons in Rados won't be happy.,,,,,,,,Окружающая среда? Это что?,,,,,,,,
dialogue_A88Uu,Those ASC clowns hit two shipments yesterday as the freighters were coming into the system.\nThe joke's on them though. Those ships were carrying raw sewage to the treatment plant!,,,,,,,,У нас никогда не бывает проблем с цепочкой поставок!,,,,,,,,
dialogue_Im89u,Rados keeps trying to compete with Polaris' supply lines and end up cutting corners.\nWe've had to dispatch PolSec to bring in three rados freighters this month because they tried to save time by only refuelling at zirax supply stations and ended up out of fuel.,,,,,,,,Мы не против небольшой побочной авантюры здесь и там.,,,,,,,,
dialogue_auqWW,"I heard some aliens are working in a Polaris research facility designing new weapons for us. That seems kinda lazy to me, but it's above my paygrade.",,,,,,,,Когда-нибудь галактика будет принадлежать корпорации Полярис.,,,,,,,,
dialogue_Ue48a,"Have you seen the Trade Guild? It's a miracle they get anything done. They're all small companies, mostly family-owned.\nPolaris was lucky to break away from them when it did or else the company would be circling the drain.",,,,,,,,"Конкуренция - это хорошо! Я имею в виду, ты видишь здесь кого-нибудь еще?",,,,,,,,
dialogue_8IWCK,<i>(back)</i>,,,,,,,,<i>(вернуться)</i>,,,,,,,,
dialogue_mGauO,<i>(back)</i>,,,,,,,,<i>(вернуться)</i>,,,,,,,,
dialogue_GK8qc,<i>(back)</i>,,,,,,,,<i>(вернуться)</i>,,,,,,,,
dialogue_0GUm0,<i>(back)</i>,,,,,,,,<i>(вернуться)</i>,,,,,,,,
dialogue_mWk0G,<i>(back)</i>,,,,,,,,<i>(вернуться)</i>,,,,,,,,
dialogue_SNaC3,<i>(back)</i>,,,,,,,,<i>(вернуться)</i>,,,,,,,,
dialogue_eS204,<i>(back)</i>,,,,,,,,<i>(вернуться)</i>,,,,,,,,
dialogue_4fmCC,<i>(back)</i>,,,,,,,,<i>(вернуться)</i>,,,,,,,,
dialogue_84iW7,<i>(back)</i>,,,,,,,,<i>(вернуться)</i>,,,,,,,,
dialogue_uGieS,<i>(back)</i>,,,,,,,,<i>(вернуться)</i>,,,,,,,,
dialogue_eWieW,Welcome to our small establishment stranger!,,,,,,,,Добро пожаловать в наше маленькое заведение незнакомец!,,,,,,,,
dialogue_ju8Wq,"Be careful of the pirates, they are known to take slaves.",,,,,,,,"Остерегайтесь пиратов, они, как известно, берут рабов.",,,,,,,,
dialogue_OameC,This galaxy is full of opportunity!,,,,,,,,Эта галактика полна возможностей!,,,,,,,,
dialogue_8q04e,The Zirax make finding a new home challenging.,,,,,,,,Зиракс делает поиск нового дома сложной задачей.,,,,,,,,
dialogue_KOSSm,I wonder how far it is to the nearest trader station?,,,,,,,,"Интересно, как далеко до ближайшей торговой станции?",,,,,,,,
dialogue_0SSG8,Someday the galaxy will be at peace again.,,,,,,,,Когда-нибудь в галактике снова будет мир.,,,,,,,,
dialogue_0eCii,Colonization is an incredible adventure!,,,,,,,,Колонизация - невероятное приключение!,,,,,,,,
